◇ injected env (9) from .env // tip: ⌘ custom filepath { path: '/custom/path/.env' }
◇ injected env (0) from .env // tip: ◈ encrypted .env [www.dotenvx.com]
Connecting DB: {
  server: 'TUNGLAI',
  instance: null,
  port: null,
  database: 'ToeicVocabularyPlatform',
  auth: 'windows'
}
Attempting to start server...
Server successfully started on port 3001
DB Connected
[2026-06-21T16:51:07.091Z] GET /api/creator/questions?status=Rejected
[2026-06-21T16:51:07.096Z] GET /api/creator/mini-tests?status=Rejected
[2026-06-21T16:51:11.544Z] GET /api/creator/content-summary
[2026-06-21T16:51:11.551Z] GET /api/creator/content-summary
[2026-06-21T16:51:18.583Z] GET /api/user/notifications?limit=1
[2026-06-21T16:51:18.598Z] GET /api/admin/stats
[2026-06-21T16:51:18.610Z] GET /api/user/notifications?limit=1
[2026-06-21T16:51:18.620Z] GET /api/admin/stats
[2026-06-21T16:51:24.654Z] GET /api/user/notifications?limit=1
[2026-06-21T16:51:24.660Z] GET /api/user/notifications?limit=1
[2026-06-21T16:51:24.665Z] GET /api/admin/students?page=1&limit=10
[2026-06-21T16:51:24.669Z] GET /api/admin/students?page=1&limit=10
[2026-06-21T16:51:29.414Z] GET /api/user/notifications?limit=1
[2026-06-21T16:51:29.417Z] GET /api/user/notifications?limit=1
[2026-06-21T16:51:29.419Z] GET /api/admin/content-management
[2026-06-21T16:51:29.428Z] GET /api/admin/content-management
[2026-06-21T16:51:34.164Z] GET /api/admin/content-review/pending
[2026-06-21T16:51:34.169Z] GET /api/user/notifications?limit=1
[2026-06-21T16:51:34.171Z] GET /api/admin/content-review/pending
[2026-06-21T16:51:34.175Z] GET /api/user/notifications?limit=1
[2026-06-21T16:51:39.302Z] GET /api/user/notifications?limit=1
[2026-06-21T16:51:39.306Z] GET /api/user/notifications?limit=1
[2026-06-21T16:51:39.311Z] GET /api/admin/reports?page=1&limit=20
[2026-06-21T16:51:39.326Z] GET /api/admin/reports?page=1&limit=20
[2026-06-21T16:51:43.608Z] GET /api/creator/topic-categories
[2026-06-21T16:51:43.614Z] GET /api/creator/topic-categories
[2026-06-21T16:51:48.519Z] GET /api/user/notifications?limit=1
[2026-06-21T16:51:48.521Z] GET /api/admin/analytics
[2026-06-21T16:51:48.524Z] GET /api/user/notifications?limit=1
[2026-06-21T16:51:48.527Z] GET /api/admin/analytics
[2026-06-21T16:51:53.131Z] GET /api/user/notifications?limit=1
[2026-06-21T16:51:53.136Z] GET /api/admin/audit-logs?page=1&limit=20
[2026-06-21T16:51:53.140Z] GET /api/user/notifications?limit=1
[2026-06-21T16:51:53.146Z] GET /api/admin/audit-logs?page=1&limit=20
[2026-06-21T16:51:57.852Z] GET /api/user/notifications?limit=1
